,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
105,Oziva Wellness Combo For Women (Daily Women's Multi And Omeg...,998,798,Rising Products,4,Unisex,Energy-boosters,Others
106,Neuherbs Daily Vitamin Supplements Combo,1998,1159,Rising Products,5,Unisex,Energy-boosters,Capsule
107,Wellman 50+ UK's No.1 Multivitamin For Men Above 50 (Pack Of...,1350,810,Rising Products,5,Male,Energy-boosters,Tablet
108,HealthKart Hk Vitals Multivitamin & Multivitamin For Women C...,1300,725,Rising Products,4,Female,Energy-boosters,Capsule
109,INLIFE Multivitamins & Minerals For Women 60 Capsules,699,399,Rising Products,5,Female,Energy-boosters,Capsule
110,SheNeed Maximum UTI Pain Relief,599,479,Rising Products,5,Female,Energy-boosters,Capsule
111,"Health Veda Organics Potassium Citrate Tablets For Nerve, Mu...",699,308,Rising Products,5,Unisex,Energy-boosters,Capsule
112,HealthKart Hk Vitals Multivitamin For Women,1058,679,Rising Products,4,Female,Energy-boosters,Capsule
114,"MuscleBlaze Muscle Building Gym Goers Combo (Creatine, Whey ...",4976,3399,Rising Products,5,Unisex,Energy-boosters,Capsule
115,Simply Herbal Kids Multivitamin Gummies For Kids And Adults,699,449,Rising Products,5,Unisex,Energy-boosters,Capsule
117,Wellwoman Supplements UK's No.1 Multivitamin For Women (Pack...,2052,1231,Rising Products,4,Female,Energy-boosters,Others
118,Fast&Up Multivitamin For Men,420,279,Rising Products,4,Male,Energy-boosters,Tablet
119,MyFitFuel Men Advance Daily Multivitamin (26 Vitamins Minera...,1079,1079,Rising Products,5,Male,Energy-boosters,Capsule
122,SheNeed Calcium and Vit-D Supplement - Pack Of 2,980,784,Rising Products,5,Female,Energy-boosters,Capsule
123,Wellwoman 50+ Health Supplements UK's No.1 Vitamin For Women...,1941,1165,Rising Products,4,Female,Energy-boosters,Others
124,Health Veda Organics Plant Based DHT Blocker Capsules For Ur...,899,342,Rising Products,4,Unisex,Energy-boosters,Capsule
125,Health Veda Organics Calcium & Magnesium & Zinc Tablets,549,285,Rising Products,5,Unisex,Energy-boosters,Capsule
127,"Fitspire Fit Gold Men Multivitamin Tablets - Immunity, Energ...",1999,901,Rising Products,5,Male,Energy-boosters,Capsule
129,Sheneed All Time Multivitamins for Women & Girls with 27+ Nu...,1000,590,Rising Products,5,Female,Energy-boosters,Tablet
131,Health Veda Organics Plant Based Garcinia Cambogia Capsules,799,336,Rising Products,5,Unisex,Energy-boosters,Capsule
132,Health Veda Organics Maca Root Capsules,549,384,Rising Products,5,Unisex,Energy-boosters,Capsule
133,"OZiva Biotin Hair Multivitamin Gummies (Keratin Builder, Iro...",1198,899,Rising Products,4,Unisex,Energy-boosters,Others
